
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nová hra
dialog_load                             Načíst
dialog_save                             Uložit
dialog_saveas                           Uložit jako
dialog_delete                           Smazat
dialog_width                            Šířka
dialog_height                           Výška
dialog_name                             Název
dialog_type                             Typ
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                Š
dialog_h                                V
dialog_exit                             Odejít
dialog_cancel                           Zrušit
dialog_ok                               OK
dialog_open                             Otevřít
dialog_close                            Zavřít
dialog_closed                           Zavřeno
dialog_add                              Přidat
dialog_up                               Nahoru
dialog_down                             Dolů
dialog_yes                              Ano
dialog_no                               Ne
dialog_loading                          Načítání...
dialog_low                              Nižší
dialog_medium                           Střední
dialog_high                             Vyšší
dialog_none                             Nic
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Editor dialogů
dialogeditor_back                       Dozadu
dialogeditor_front                      Dopředu
dialogeditor_reloadlanguage             Znovu načíst jazyk
dialogeditor_test                       Test
dialogeditor_window                     Okno
dialogeditor_grid                       Mřížka
dialogeditor_caption                    Titulek
dialogeditor_component                  Položka
dialogeditor_select						Vybrat
dialogeditor_create						Vytvořit
dialogeditor_background                 Obr. na pozadí
dialogeditor_panel                      Panel

dialogcomponent_custom                  Vlastní
dialogcomponent_button                  Tlačítko
dialogcomponent_container               Oblast
dialogcomponent_caption                 Titulek
dialogcomponent_titlecaption            Titulek
dialogcomponent_checkbox                Zaškrtávací políčko
dialogcomponent_inputfield              Vstupní pole
dialogcomponent_inputslider             Vstupní posuvník
dialogcomponent_dropdownmenu            Rozbalovací nabídka
dialogcomponent_selectionlist           Seznam výběru
dialogcomponent_selectionlistitem       Položka v seznamu
dialogcomponent_scrollbar               Posuvník
dialogcomponent_progressbar             Ukazatel postupu
dialogcomponent_canvas                  Plátno
dialogcomponent_iconbox					Sada ikon

dialogposition_absolute                 Absolutní
dialogposition_relative                 Relativní
dialogposition_scaled                   V měřítku


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Tvorba profilů
profiler_name                           Název
profiler_timings                        Časování
profiler_totaltime                      Celkem
profiler_glfinishcaption                glDokončení
profiler_reset                          Resetovat


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Zvukové kanály
soundeditor_title                       Editor zvuku
soundinstanceeditor_title				Editor zvukových entit

soundeditor_positiontitle		Typ pozice
soundeditor_instancetitle		Typ entity
soundeditor_looptitle			Typ smyčky
soundeditor_sourcetypetitle		Typ zvuku
soundeditor_soundnametitle		Název zvuku

soundeditor_volumetitle			Hlasitost
soundeditor_frequencytitle              Frekvence
soundeditor_mindistancetitle            Min. vzdálenost
soundeditor_attacktitle                 Náběh
soundeditor_sustaintitle                Tón
soundeditor_releasetitle                Dozvuk
soundeditor_loopdelaytitle              Prodleva smyčky
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Další událost

soundeditor_play                        Přehrát
soundeditor_stop                        Zastavit

soundparametereditor_title              Parametr zvuku
soundparametereditor_typetitle          Typ
soundparametereditor_linktitle          Propojeno s
soundparametereditor_updatetitle        Typ aktualizace
soundparametereditor_smoothing          Vyhlazení
soundparametereditor_chaintitle         Zřetězení

soundeditor_newdsp                      Přidat DSP
sounddspeditor_title                    Editor DSP
samplebankeditor_title                  Editor banky samplů
samplebankeditor_addsample              Přidat zvuk
samplebank                              (banka samplů)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Hotovo
interfacemode_destroy                         Odstranit
interfacemode_foundations				Základy
interfacemode_construction                    Materiály
interfacemode_planning                        Plánování
interfacemode_objects                         Objekty
interfacemode_designation                     Místnosti
interfacemode_utilities                       Rozvody
interfacemode_staff                           Zaměstnanci
interfacemode_deployment                      Rozmístění
interfacemode_logistics                       Logistika
interfacemode_prisoners                       Vězni
interfacemode_needs                           Potřeby
interfacemode_threats                         Hrozby
interfacemode_overlays                        Informační vrstvy
interfacemode_research                        Správa věznice
