
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouvelle
dialog_load                             Charger
dialog_save                             Sauvegarder
dialog_saveas                           Sauvegarder sous
dialog_delete                           Effacer
dialog_width                            Largeur
dialog_height                           Hauteur
dialog_name                             Nom
dialog_type                             Type
dialog_x                                X
dialog_y                                Y
dialog_z								W
dialog_w                                Z
dialog_h                                T
dialog_exit                             Quitter
dialog_cancel                           Annuler
dialog_ok                               OK
dialog_open                             Ouvrir
dialog_close                            Fermer
dialog_closed                           Fermé
dialog_add                              Ajouter
dialog_up                               Haut
dialog_down                             Bas
dialog_yes                              Oui
dialog_no                               Non
dialog_loading                          Chargement...
dialog_low                              Faible
dialog_medium                           Moyenne
dialog_high                             Élevée
dialog_none                             Aucun
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Éditeur de dialogues
dialogeditor_back                       Derrière
dialogeditor_front                      Devant
dialogeditor_reloadlanguage             Recharger langue
dialogeditor_test                       Tester
dialogeditor_window                     Fenêtre
dialogeditor_grid                       Grille
dialogeditor_caption                    Texte
dialogeditor_component                  Composant
dialogeditor_select						Sélectionner
dialogeditor_create						Créer
dialogeditor_background                 Arrière-fond
dialogeditor_panel                      Panneau

dialogcomponent_custom                  Personnalisé
dialogcomponent_button                  Bouton
dialogcomponent_container               Conteneur
dialogcomponent_caption                 Légende
dialogcomponent_titlecaption            Titre
dialogcomponent_checkbox                Case
dialogcomponent_inputfield              Champ de saisie
dialogcomponent_inputslider             Curseur
dialogcomponent_dropdownmenu            Menu déroulant
dialogcomponent_selectionlist           Liste de sélection
dialogcomponent_selectionlistitem       Liste d'options
dialogcomponent_scrollbar               Barre de défilement
dialogcomponent_progressbar             Barre de progression
dialogcomponent_canvas                  Canevas
dialogcomponent_iconbox					Emp. d'icône

dialogposition_absolute                 Absolue
dialogposition_relative                 Relative
dialogposition_scaled                   Échelonnée


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profileur
profiler_name                           Nom
profiler_timings                        Temps
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Réinitialiser


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Canaux de sons
soundeditor_title                       Éditeur de sons
soundinstanceeditor_title				Éditeur d'instances de sons

soundeditor_positiontitle		Type de position
soundeditor_instancetitle		Type d'instance
soundeditor_looptitle			Type de boucle
soundeditor_sourcetypetitle		Type de son
soundeditor_soundnametitle		Nom du son

soundeditor_volumetitle			Volume
soundeditor_frequencytitle              Fréquence
soundeditor_mindistancetitle            Distance mini
soundeditor_attacktitle                 Attaque
soundeditor_sustaintitle                Entretien
soundeditor_releasetitle                Extinction
soundeditor_loopdelaytitle              Retard de boucle
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Événement suivant

soundeditor_play                        Jouer
soundeditor_stop                        Arrêter

soundparametereditor_title              Paramètre sonore
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Lié à
soundparametereditor_updatetitle        Type de mise à jour
soundparametereditor_smoothing          Lissage
soundparametereditor_chaintitle         Chaîne

soundeditor_newdsp                      Ajouter DSP
sounddspeditor_title                    Éditeur DSP
