
campaigncutscene_tooltip 				(Cliquer pour déclencher le chapitre suivant de l'histoire)
campaignchapter_locked                  (Verrouillé)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Palermo

campaignchapter_food_description        Un important incendie a détruit la cuisine et la cantine de la prison. Si on ne nourrit pas les détenus rapidement, ça va tourner à l'émeute.\nRésolvez la crise de nourriture puis reconstruisez la cuisine et la cantine.

adviser_food_fire_1                     Un problème est survenu dans un autre de nos établissements.
adviser_food_fire_2                     Quelqu'un a allumé un incendie dans la cuisine de la prison. Vous devez l'éteindre, sauver tout le monde et empêcher tout dégât supplémentaire.
adviser_food_fire_3                     Servez-vous du bouton Urgences de la barre d'outils pour appeler les pompiers.
adviser_food_fire_4                     Éteignez l'incendie avant qu'il ne détruise toute la prison !

objective_food_callfirebrigade          Appeler les pompiers
objective_food_extinguishflames         Éteindre l'incendie

objective_food_callfirebrigade_description 	Pour appeler les pompiers, cliquez sur le bouton Urgences de la barre d'outils, puis cliquez sur Pompiers.
objective_food_extinguishflames_description  Une fois les pompiers sélectionnés, vous pouvez orienter leurs tuyaux manuellement en maintenant la touche H enfoncée. Concentrez les jets d'eau au centre des flammes.\n\nPlacez les pompiers aussi près que possible des flammes, ils seront plus efficaces.

adviser_food_savedon1                   Oh bon sang, il y a un survivant dans les décombres.
adviser_food_savedon2					Nom d'un chien, c'est Don Palermo. Il n'y qu'un seul survivant et ça devait être le parrain de la pègre.
adviser_food_donintro2					La mauvaise nouvelle, c'est qu'avec les dernières restrictions budgétaires, on a dû virer tous les docteurs permanents.
adviser_food_donintro3				 	La bonne nouvelle, c'est qu'on peut toujours se servir de l'infirmerie. Engagez des docteurs et ils s'occuperont de Don Palermo le temps qu'on règle tout ça.

adviser_food_afterfire3                 Il va falloir dégager tout ça.
adviser_food_afterfire4                 Servez-vous de l'outil Démolir pour démolir les décombres de la cantine et de la cuisine. Vous devez dégager tous les décombres.
adviser_food_afterfire6                 Définissez une déchèterie à côté de la route. Nos ouvriers y mettront les décombres et les camions poubelles viendront les chercher.
adviser_food_dismissfiremen1			Pour finir, maintenant qu'ils ont fait leur travail, pourriez-vous renvoyer ces pompiers chez eux ?
adviser_food_gamespeed                  Ça va prendre du temps de démolir ces bâtiments. Vous pouvez accélérer le passage du temps à l'aide des boutons sous l'horloge.

adviser_food_todolist1					J'ai ajouté des informations sur chaque objectif dans votre liste de tâches.
adviser_food_todolist2					Si jamais vous ne savez plus exactement quoi faire, passez le curseur sur l'objectif et des instructions supplémentaires s'afficheront.

objective_food_buildmedicalward_doctors Engager des médecins pour pourvoir l'infirmerie en personnel

objective_food_DismissAllFiremen		Laisser repartir les pompiers
objective_food_cleararea                Dégager les décombres brûlés
objective_food_buildgarbagearea         Définir une déchèterie
objective_food_clearcanteen             Dégager les décombres de la cantine
objective_food_clearkitchen             Dégager les décombres de la cuisine
objective_food_hiremoreworkmen			(OPTIONNEL) Engager des ouvriers supplémentaires pour accélérer la démolition

objective_food_dismissallfiremen_description 	Pour laisser repartir un service d'urgence, situez son icône à droite de l'écran et cliquez sur le cercle rempli d'un X.
objective_food_cleararea_description 	Servez-vous de l'outil Bulldozer pour démolir les bâtiments. L'outil Bulldozer se trouve sous « Fondations », dans la barre d'outils principale.

adviser_food_familyvisit1				Bon travail.
adviser_food_familyvisit2 				Voyons un peu comment va notre grand blessé.

adviser_food_troublesoon1				S'ils on ne les nourrit pas, ces pensionnaires vont tout démolir ici.
adviser_food_troublesoon2 				Il faut sécuriser la prison avant d'avoir une émeute sur les bras.
adviser_food_troublesoon3 				Voici l'écran de déploiement. Vous pouvez y contrôler le déploiement stratégique de tous vos gardiens.
adviser_food_troublesoon4 				Déployez des gardiens dans chaque bloc de cellules et dans chaque pièce. Affectez 10 gardiens aux postes autour de la prison. Pour l'instant, ça devrait suffire comme démonstration de force.
adviser_food_troublesoon5				Je veux aussi une patrouille autour de la cour intérieure, là où on va construire les nouvelles installations.
adviser_food_troublesoon6				Une dernière chose. Maintenant que nous n'avons plus de cantine, des caisses de nourriture se sont avariées. Jetez-les avant que les choses s'infectent.

objective_food_deployguards				Déployer dix gardiens autour de la prison
objective_food_deploypatrol				Faire patrouiller deux gardiens autour de la cour intérieure

objective_food_deployguards_description		Pour déployer des gardiens, ouvrez l'écran de déploiement puis cliquez dans un secteur pour créer un poste. Un gardien sera automatiquement affecté à ce poste.
objective_food_deploypatrol_description		Ouvrez l'écran de déploiement, puis sélectionnez Patrouilles. Cliquez et faites glisser pour établir vos trajets.\n\nPour affecter des gardiens à une patrouille, cliquez à nouveau sur une case du trajet.

objective_food_dumpfood 				Jeter les réserves de nourriture avariée
objective_food_dumpfood_description		Les réserves de nourriture avariée se trouvent dans le placard de l'entrepôt, dans le secteur nord-est de la prison.\n\nPour jeter quelque chose, cliquez dessus puis cliquez sur « Jeter » dans le menu qui s'affiche.

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				Eugh...

adviser_food_doninfirmary0              Il essaie de nous dire quelque chose, je crois.
adviser_food_doninfirmary1				Qui est parmi vous l'enflure de merde qui a fait ça ?
adviser_food_doninfirmary2 				Personne t'a fait rien, Don. C'était un accident.
adviser_food_doninfirmary3 				Vos gueules et écoutez-moi bien. Tous les deux.
adviser_food_doninfirmary4 				Si je savais lequel de vous a allumé ce feu, je lui briserais la nuque.
adviser_food_doninfirmary5 				Mais je suis fichu. Je vais mourir dans ce putain de lit.
adviser_food_doninfirmary6 				Il faut que notre dynastie continue. C'est tout ce qui nous reste. Alors faites ce qu'il y a à faire, espèces de pourritures. Capiche ?
adviser_food_doninfirmary7				On sait ce qu'il faut faire, papa.
adviser_food_donchat13					C'est pas fini Nico.
adviser_food_donchat14					Surveille bien tes arrières.

adviser_food_founddrugs1				Vous ne croirez jamais ce qu'on m'a dit.
adviser_food_founddrugs2				Nos gars s'occupaient de la nourriture avariée quand ils sont tombés sur du gros : les caisses dissimulaient des bouteilles d'alcool et de la drogue.
adviser_food_founddrugs3				On pensait bien que les Palermo faisaient entrer des choses ici, mais on n'avait jamais pu découvrir comment.
adviser_food_founddrugs4 				Il y a des jours où ça fait plus que pleuvoir, ça dégringole !

adviser_food_rebuild1                   Il nous reste beaucoup de travail. Nous devons remplacer la cuisine et la cantine au plus vite.
adviser_food_rebuild2                   Nous devons d'abord reconstruire la cuisine. Vous devrez installer plusieurs pièces d'équipement et engager des cuisiniers.
adviser_food_rebuild3					Quand ce sera fait, construisez une nouvelle cantine.
adviser_food_rebuild4					Quand les deux seront construites, les cuisiniers commenceront automatiquement à préparer des repas pour toute la prison.
adviser_food_rebuild5                   Si vous ne savez plus quoi faire, passez le curseur sur l'objectif dans la liste des tâches pour afficher des indications.

adviser_food_fightoutro1  				Eh bien, la famille Palermo rapetisse à vue d'œil.

adviser_food_sprinklerintro1 			On a sûrement de très gros problèmes de drogue sur les bras. Mais on ne peut pas les régler pour l'instant.
adviser_food_sprinklerintro2 			Notre cuisine et notre cantine sont à nouveau opérationnelles. Nos cuisiniers vont s'occuper de préparer des repas pour tout le monde, ça devrait calmer un peu les choses.
adviser_food_sprinklers1                L'incendie était clairement criminel, et je ne veux pas que ça se reproduise.
adviser_food_sprinklers2 				Installez un système de gicleurs au-dessus de la nouvelle cuisine et de la nouvelle cantine. Puis reliez-le à l'arrivée d'eau.

adviser_food_explainneeds1 				Tous les prisonniers ont des besoins. Ces besoins ont des répercussions directes sur leur comportement. Pour l'instant, tout le monde est littéralement affamé, c'est la raison de tout ce chahut.
adviser_food_explainneeds2 				La nourriture est l'une de leurs toutes premières priorités, il y aura de graves conséquences s'il en manque. Quelques repas manquants suffiront à mettre la prison en ébullition.
adviser_food_explainneeds3 				Vous pouvez consulter les besoins de tous vos prisonniers dans le Rapport de besoins, auquel vous pouvez accéder par l'icône Rapports en bas à droite.
adviser_food_explainneeds4				Ce rapport affiche les besoins combinés de tous vos prisonniers. La couleur rouge indique que de nombreux prisonniers sont mécontents d'un besoin non satisfait.
adviser_food_explainneeds5 				Comme vous pouvez vous y attendre, la nourriture est affichée en rouge pour à peu près tout le monde. Mais ces prisonniers s'ennuient également (besoin de détente), et la prison est dans un piteux état, ce qui a un impact sur leurs besoins d'environnement et de vêtements.
adviser_food_explainneeds6				En tant qu'architecte ici, c'est à vous de décider de quels besoins s'occuper en premier. Vous pourriez installer des télévisions dans leurs cellules pour les tenir occupés, ou encore engager des concierges pour nettoyer l'endroit.
adviser_food_explainneeds7				Ou vous pouvez aussi totalement ignorer les besoins de vos prisonniers et ne compter que sur la force pour garder les choses sous contrôle.
adviser_food_explainneeds8 				Je vous laisse le soin de décider.

objective_food_needs 					(OPTIONNEL) S'occuper des besoins de vos détenus
objective_food_handlefoodneed 			(OPTIONNEL) S'occuper des besoins en nourriture de vos prisonniers
objective_food_handleboredomneed		(OPTIONNEL) S'occuper des besoins en détente de vos prisonniers
objective_food_handleenvironmentneed	(OPTIONNEL) S'occuper des besoins en environnement de vos prisonniers

objective_food_needs_description 					Vous pouvez consulter les besoins globaux de tous vos prisonniers en cliquant sur Rapports (en bas à droite de l'écran), puis sur Besoins.\nVous pouvez également mettre un prisonnier en évidence et voir quels sont ses besoins.\n\nIl n'est jamais possible de satisfaire à tout jamais un besoin, c'est une bataille constante.
objective_food_handlefoodneed_description 			Nos cuisiniers vont préparer de la nourriture pour tout le monde, et tous les détenus devraient être nourris à la fin du prochain service repas.
objective_food_handleboredomneed_description 		Vous pouvez régler le problème d'ennui tout à fait efficacement en installant une télévision dans la cellule de chaque personne. Ou vous pouvez aussi construire une salle commune et y installer des télés et des tables de billard.\n\nVous pouvez également placer des télévisions dans les salles partagées, comme la cantine par exemple.
objective_food_handleenvironmentneed_description 	Engagez des concierges et ils nettoieront doucement l'endroit.

adviser_food_needssuccess1 				Vous vous êtes parfaitement occupé des besoins de vos prisonniers. Bon travail.
adviser_food_needssuccess2 				Vous aurez probablement remarqué à présent que le principal souci restant des prisonniers est le manque de vêtements propres.
adviser_food_needssuccess3 				Si vous voulez également vous occuper de ce besoin, vous devrez offrir un service de buanderie pour fournir progressivement à tous vos détenus des vêtements propres.
adviser_food_needssuccess4 				Construisez une buanderie et engagez davantage de concierges pour commencer à fournir des vêtements propres à vos détenus.

objective_food_laundry 					(OPTIONNEL) Nettoyer les vêtements
objective_food_buildlaundry 			(OPTIONNEL) Construire une buanderie
objective_food_hirejanitors             (OPTIONNEL) Engager assez de concierges pour faire fonctionner la buanderie
objective_food_handleclothingneed 		(OPTIONNEL) S'occuper des besoins en vêtements de vos prisonniers

objective_food_buildkitchen             Construire une cuisine (d'environ 12 mètres carrés)
objective_food_buildkitchencookers      Installer au moins quatre cuisinières
objective_food_buildkitchenfridges      Installer au moins quatre frigos
objective_food_buildkitchensink         Installer un évier de cuisine
objective_food_buildkitchenbin	 		Placer une poubelle dans la cuisine
objective_food_buildkitchenwatermains 	Relier l'évier à l'arrivée d'eau
objective_food_buildkitchenfloor 		(OPTIONNEL) Améliorer le sol de la cuisine

objective_food_buildkitchen_description		Vous devrez d'abord construire des fondations.
objective_food_buildcanteen_description		Vous devrez d'abord construire des fondations.

objective_Food_HireChefs				Engager au moins huit cuisiniers
objective_food_CookMeals				(Automatique) Préparer des repas pour tous les détenus

objective_food_buildcanteen             Construire une cantine (d'environ 20 mètres carrés)
objective_food_buildservingtables       Installer deux tables de service
objective_food_buildcanteentables       Installer au moins six tables
objective_food_buildcanteenchairs       Installer deux bancs autour de chaque table
objective_food_buildcanteenbin	 		Placer une poubelle dans la cantine
objective_food_buildcanteenfloor 		(OPTIONNEL) Améliorer le sol de la cantine


objective_food_buildsprinklers          Installer un nouveau système de gicleurs
objective_food_buildsprinklers1         Installer des gicleurs dans la cuisine
objective_food_buildsprinklers2         Installer des gicleurs dans la cantine
objective_food_connectwater             Relier les gicleurs de la cuisine à l'arrivée d'eau
objective_food_connectwater2			Relier les gicleurs de la cantine à l'arrivée d'eau
objective_food_feedprisoners            Terminer un service repas en nourrissant tous les prisonniers

objective_food_buildkitchenwatermains_description   Les grands tuyaux servent à déplacer d'importants volumes d'eau sous haute pression. Les petits tuyaux servent à relier des objets individuels au réseau.\n\nUtilisez la vue SERVICES pour placer de grands tuyaux dans vos bâtiments, et reliez-les ensuite par de petits tuyaux aux objets ayant besoin d'eau.
objective_food_connectwater_description             Les grands tuyaux servent à déplacer d'importants volumes d'eau sous haute pression. Les petits tuyaux servent à relier des objets individuels au réseau.\n\nUtilisez la vue SERVICES pour placer de grands tuyaux dans vos bâtiments, et reliez-les ensuite par de petits tuyaux aux objets ayant besoin d'eau.
objective_food_connectwater2_description            Les grands tuyaux servent à déplacer d'importants volumes d'eau sous haute pression. Les petits tuyaux servent à relier des objets individuels au réseau.\n\nUtilisez la vue SERVICES pour placer de grands tuyaux dans vos bâtiments, et reliez-les ensuite par de petits tuyaux aux objets ayant besoin d'eau.

campaigncutscene_foodinfirmary			Infirmerie
campaigncutscene_foodfamily             Famille
campaigncutscene_foodfeud               Vendetta
campaigncutscene_foodregret				Regret
campaigncutscene_foodsuccession 		Succession

campaigncutscene_foodfamily_description		La famille Palermo approvisionnait autrefois en narcotiques toute la côte Est des États-Unis. Découvrez l'historique de Don Palermo et de ses enfants.

adviser_name_thedon                     Don Palermo
adviser_name_thedonangry                Don Palermo
adviser_name_nico                       Nico Tamoretti 
adviser_name_nicoshower					Nico Tamoretti
adviser_name_nicosuited					Nico Tamoretti
adviser_name_sonny                      Sonny Palermo 
adviser_name_sonnysuited				Sonny Palermo
adviser_name_sonnystrangled				Sonny Palermo
adviser_name_anthonysuited				Anthony Palermo
adviser_name_wiggins					Wiggins
adviser_name_nicoinfirmary				Nico Tamoretti
adviser_name_vitalia					Vitalia Palermo

cutscene_foodfamily_palermo01			Don Victor Palermo. Le parrain de l'une des familles mafieuses les plus redoutées de toute la côte Est.
cutscene_foodfamily_palermo1			Les Palermo échappèrent au FBI pendant des décennies.
cutscene_foodfamily_palermo02			Anthony Palermo, le fils aîné et l'héritier naturel de Don, s'occupait des opérations courantes.
cutscene_foodfamily_palermo03			Nico Tamoretti ne faisait pas partie du milieu, mais la famille l'intégra à son organisation quand il se maria à l'unique fille de Don, Vitalia.
cutscene_foodfamily_palermo04			Et Sonny Palermo. Le second fils de Don. L'avorton de la famille. Le tempérament d'un taureau mais la moitié de son intelligence.

cutscene_foodfamily_palermo2 			La famille vendait des stupéfiants. Leur empire s'étendait du Maine à la Floride.
cutscene_foodfamily_palermo3			Les choses durèrent jusqu'à ce qu'Anthony se fasse prendre en flagrante delicto.
cutscene_foodfamily_palermo3b           Il fut abattu par un mari jaloux.
cutscene_foodfamily_palermo4			Hélas pour la famille, la police découvrit dans le sac de sport d'Anthony resté sur la scène du crime douze kilos de cocaïne pure.
cutscene_foodfamily_palermo5			Et la pièce à conviction la mena tout droit jusqu'au sommet de l'organisation.
cutscene_foodfamily_palermo6			Tout ce que la famille avait bâti s'effondra du jour au lendemain. Le FBI avait tout ce qu'il lui fallait pour tous les faire moisir en prison.
cutscene_foodfamily_palermo7			Ce qui fait de Vitalia, la fille du Don, la seule de la famille à ne pas se retrouver derrière les barreaux.
cutscene_foodfamily_palermo8			On en sait assez peu sur elle, sinon qu'elle était tenue à l'écart des affaires de la famille.
cutscene_foodfamily_palermo9 			Mais quelqu'un de l'extérieur a bien dû envoyer ici toute cette drogue.

adviser_food_findalldrugs1				Les problèmes de nourriture sont maintenant réglés. À présent que les détenus sont nourris, ils seront beaucoup plus heureux.

adviser_food_findalldrugs2				Les Palermo vendaient sûrement cette drogue à pratiquement tout le monde ici.
adviser_food_findalldrugs3				Les gardiens m'ont dit que plein de taulards montraient des signes de sevrage depuis l'incendie.
adviser_food_findalldrugs4				Je veux que vous fouilliez chaque prisonnier et chaque cellule. Il y a sûrement de la drogue un peu partout dans la prison.

objective_food_findalldrugs					Trouver toute la drogue de la prison
objective_food_findalldrugs_description 	Fouillez chaque bloc de cellules en cliquant sur un prisonnier d'un bloc puis en cliquant sur « Fouiller bloc de cellules ». Ou servez-vous de l'option Fouille générale de la barre d'outils en bas de l'écran.

objective_food_hiremoreguards 			(OPTIONNEL) Engager des gardiens supplémentaires pour accélérer la fouille

adviser_food_drugsfound1				Les choses auraient pu être largement pires, mais il y a quand même des problèmes de dépendance aux drogues et à l'alcool.
adviser_food_drugsfound2				Nous devons aider ces hommes. Essayons de les désintoxiquer et de traiter leurs symptômes.
adviser_food_drugsfound2b 				Lancez un programme de désintoxication à l'infirmerie. Nos docteurs administreront aux prisonniers un substitut pour calmer leurs manques.
