
campaigncutscene_tooltip 				(Klicken, um das nächste Kapitel der Geschichte auszulösen)
campaignchapter_locked                  (Gesperrt)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Palermo

campaignchapter_food_description        Ein schwerer Brand hat Küche und Kantine dieses Gefängnisses zerstört. Wenn wir nicht schnell etwas anderes finden, um die Insassen zu versorgen, bekommen wir einen Aufstand.\nLösen Sie die Versorgungskrise und bauen Sie Küche und Kantine wieder auf.

adviser_food_fire_1                     In einer unserer Einrichtungen braut sich eine Krise zusammen.
adviser_food_fire_2                     Jemand hat in der Gefängnisküche Feuer gelegt. Wir müssen es löschen, um die Zahl der Opfer zu begrenzen und weiteren Schaden zu verhindern. 
adviser_food_fire_3                     Rufen Sie über die Schaltfläche "Notdienste" in der Werkzeugleiste die Feuerwehr. 
adviser_food_fire_4                     Bringen Sie dieses Feuer unter Kontrolle, bevor das gesamte Gefängnis abbrennt!

objective_food_callfirebrigade          Rufen Sie die Feuerwehr!
objective_food_extinguishflames         Löschen Sie die Flammen!

objective_food_callfirebrigade_description 	Um die Feuerwehr zu rufen, klicken Sie erst die Schaltfläche "Notdienste" in der Werkzeugleiste an und dann "Feuerwehrleute".
objective_food_extinguishflames_description  Wenn Sie "Feuerwehrleute" ausgewählt haben, können Sie die Wasserschläuche ausrichten, indem Sie "H" gedrückt halten. Konzentrieren Sie so die Schläuche auf das Zentrum des Feuers.\n\nHalten Sie die Feuerwehrleute so dicht am Feuer wie möglich - so sind sie effektiver.

adviser_food_savedon1                   Mein Gott, da ist ein Überlebender zwischen den Trümmern.
adviser_food_savedon2					Grundgütiger, das ist Don Palermo. Von allen Insassen ... muss es ausgerechnet unser Mafiaboss sein. 
adviser_food_donintro2					Die schlechte Nachricht für ihn ist, dass wir aufgrund der Budgetsenkungen all unsere festen Ärzte entlassen mussten.  
adviser_food_donintro3				 	Die gute Nachricht ist, dass unsere Krankenstation immer noch einsatzbereit ist. Stellen Sie ein paar Ärzte ein, damit sie sich um Don Palermo kümmern, während wir dieses Chaos beseitigen.

adviser_food_afterfire3                 Wir müssen dieses Chaos beseitigen.
adviser_food_afterfire4                 Reißen Sie mit dem Bagger-Werkzeug die zerstörte Kantine und die Küche ab. Es müssen sämtliche Trümmer entfernt werden. 
adviser_food_afterfire6                 Weisen Sie eine Müllzone an der Straße zu. Unsere Arbeiter werden die Trümmerteile dorthin bringen, damit die Müllwagen sie abtransportieren können.
adviser_food_dismissfiremen1			Endlich können Sie die Feuerwehrleute wieder nach Hause schicken. Ihre Arbeit ist getan.
adviser_food_gamespeed                  Der Abriss dieser Gebäude wird eine Weile dauern. Sie können die Zeit beschleunigen, indem Sie die Schaltflächen unter der Uhr betätigen.

adviser_food_todolist1					Ich habe für diese Ziele weitere Details in Ihre Aufgabenliste hinzugefügt.
adviser_food_todolist2					Wenn Sie einmal nicht wissen, was sie tun sollen, führen Sie die Maus über das Ziel und Sie erhalten zusätzliche Anweisungen.

objective_food_buildmedicalward_doctors Stellen Sie ein paar Ärzte für die Krankenstation ein!

objective_food_DismissAllFiremen		Entlassen Sie die Feuerwehrleute!
objective_food_cleararea                Räumen Sie die verbrannten Trümmer weg! 
objective_food_buildgarbagearea         Weisen Sie eine Müllzone zu!
objective_food_clearcanteen             Räumen Sie die Kantinentrümmer weg!
objective_food_clearkitchen             Räumen Sie die Küchentrümmer weg!
objective_food_hiremoreworkmen			(OPTIONAL) Stellen Sie mehr Arbeiter ein, damit der Abriss schneller geht.

objective_food_dismissallfiremen_description 	Um einen Notdienst wegzuschicken, suchen Sie das entsprechende Symbol auf der rechten Bildschirmseite und klicken Sie die Schaltfläche mit dem roten, eingekreisten "X" an, um ihn zu entlassen. 
objective_food_cleararea_description 	Mit dem Bagger-Werkzeug können Sie Gebäude abreißen. Es befindet sich unter "Fundamente" in der Hauptwerkzeugleiste.

adviser_food_familyvisit1				Gute Arbeit.
adviser_food_familyvisit2 				Sehen wir mal nach, wie es unserem Verletzten geht.

adviser_food_troublesoon1				Ohne Essen werden die Häftlinge in ein paar Tagen die Mauern niedergerissen haben.
adviser_food_troublesoon2 				Wir müssen das Gefängnis sichern, bevor es zu einem Aufstand kommt. 
adviser_food_troublesoon3 				Das ist der Einsatzbildschirm. Von hier aus können Sie den taktischen Einsatz all Ihrer Wachen steuern.
adviser_food_troublesoon4 				Setzen Sie Wachen in allen Zellenblöcken und Räumen ein. Weisen Sie Stationen in der Gefängnisumgebung 10 Wachen zu. Das sollte reichen, um Stärke zu zeigen.
adviser_food_troublesoon5				Außerdem will ich eine Patrouille im Innenhof, wo wir die neuen Anlagen bauen. 
adviser_food_troublesoon6				Ein Letztes noch. Da die Kantine gerade außer Betrieb ist, sind einige Lebensmittelkisten verdorben. Entsorgen Sie sie, bevor sich der Befall ausbreiten kann.

objective_food_deployguards				Setzen Sie 10 Wachen im Gefängnis ein!
objective_food_deploypatrol				Teilen Sie 2 Wachen zu einer Patrouille des Innenhofs zu! 

objective_food_deployguards_description		Um Wachen einzusetzen, öffnen Sie den Einsatzbildschirm und klicken auf einen Sektor, um eine Station zu erstellen. Dieser Station wird dann automatisch eine Wache zugewiesen. 
objective_food_deploypatrol_description		Öffnen Sie den Einsatzbildschirm und wählen Sie "Patrouillen" aus. Klicken und ziehen Sie, um die Patrouillenroute zu zeichnen.\n\nUm einer Patrouille Wachen zuzuteilen, klicken Sie auf ein beliebiges Kästchen innerhalb der Patrouille.

objective_food_dumpfood 				Entsorgen Sie die verdorbenen Lebensmittel!
objective_food_dumpfood_description		Die verdorbenen Lebensmittel befinden sich im Vorratsschrank im nordöstlichen Quadranten des Gefängnisses.\n\nUm ein Objekt zu entsorgen, klicken Sie es an und klicken Sie dann im Popup-Menü "Entsorgen" an.

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				argh ... ...

adviser_food_doninfirmary0              Ich glaube, er will uns etwas sagen.
adviser_food_doninfirmary1				Wer von euch dreckigen Hurensöhnen war das?
adviser_food_doninfirmary2 				Niemand, Daddy. Das war ein Unfall.
adviser_food_doninfirmary3 				Haltet eure dreckigen Mäuler und hört gut zu. Beide. 
adviser_food_doninfirmary4 				Wenn ich wüsste, welches von euch beiden Arschlöchern den Brand gelegt hat, würde ich ihm den Hals umdrehen!
adviser_food_doninfirmary5 				Aber meine Zeit ist abgelaufen. Ich werde in diesem Scheißbett sterben.
adviser_food_doninfirmary6 				Aber es gibt noch Familiengeschäfte zu führen. Der Name Palermo ist alles, was wir noch haben. Ihr übernehmt also die ehrenhafte Aufgabe, ihr dreckigen Wichser. Capiche?
adviser_food_doninfirmary7				Wir wissen, was zu tun ist, Dad.
adviser_food_donchat13					Es ist noch nicht vorbei, Nico.
adviser_food_donchat14					Pass auf dich auf.

adviser_food_founddrugs1				Sie werden nicht glauben, was mir gerade berichtet wurde.
adviser_food_founddrugs2				Unsere Leute waren gerade dabei, die verdorbenen Lebensmittel zu entsorgen, als sie in den Kisten Drogen und Flaschen mit Alkohol entdeckten.
adviser_food_founddrugs3				Wir verdächtigen die Familie Palermo ja schon seit geraumer Zeit des Schmuggels, aber wir konnten ihr das nie nachweisen.
adviser_food_founddrugs4 				An manchen Tagen kommt ein Übel zum anderen.

adviser_food_rebuild1                   Wir haben noch viel Arbeit vor uns. Wir müssen unsere Aufmerksamkeit dem Wiederaufbau von Küche und Kantine zuwenden.
adviser_food_rebuild2                   Zuerst müssen wir die Küche wieder aufbauen. Dazu müssen Sie diverse Geräte installieren und ein paar Köche einstellen.
adviser_food_rebuild3					Ist das getan, bauen Sie eine neue Kantine.
adviser_food_rebuild4					Sind Sie mit allem fertig, fangen die Köche automatisch an, Mahlzeiten für das gesamte Gefängnis zuzubereiten.
adviser_food_rebuild5                   Wenn Sie sich irgendwann einmal nicht sicher sein sollten, was Sie zu tun haben, führen Sie die Maus über ein Ziel in der Aufgabenliste, um sich Tipps anzeigen zu lassen.

adviser_food_fightoutro1  				Fantastisch. Sieht aus, als würden der Familie Palermo die Mitglieder ausgehen.

adviser_food_sprinklerintro1 			Wir könnten es hier mit einem ernsthaften Drogenproblem zu tun haben. Aber darum können wir uns jetzt nicht kümmern.
adviser_food_sprinklerintro2 			Küche und Kantine sind fertig und einsatzbereit. Unsere Köche bereiten Speisen für alle zu, womit sich die Lage etwas beruhigen sollte.
adviser_food_sprinklers1                Ich mache mir Sorgen, weil das Feuer eindeutig auf Brandstiftung zurückzuführen ist. Das darf nicht noch einmal vorkommen.
adviser_food_sprinklers2 				Installieren Sie eine Sprinkleranlage über der neuen Küche und der Kantine und schließen Sie sie an die Wasserleitung an.

