
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Νέο
dialog_load                             Φόρτωση
dialog_save                             Αποθήκευση
dialog_saveas                           Αποθήκευση ως
dialog_delete                           Διαγραφή
dialog_width                            Πλάτος
dialog_height                           Ύψος
dialog_name                             Όνομα
dialog_type                             Τύπος
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                Υ
dialog_exit                             Έξοδος
dialog_cancel                           Άκυρο
dialog_ok                               ΟΚ
dialog_open                             Άνοιγμα
dialog_close                            Κλείσιμο
dialog_closed                           Κλειστό
dialog_add                              Προσθήκη
dialog_up                               Πάνω
dialog_down                             Κάτω
dialog_yes                              Ναι
dialog_no                               Όχι
dialog_loading                          Φόρτωση...
dialog_low                              Χαμηλή
dialog_medium                           Μεσαία
dialog_high                             Υψηλή
dialog_none                             Καθόλου
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Εργαλείο επεξεργασίας παραθύρων διαλόγων
dialogeditor_back                       Πίσω
dialogeditor_front                      Εμπρός
dialogeditor_reloadlanguage             Επαναφόρτωση γλώσσας
dialogeditor_test                       Δοκιμή
dialogeditor_window                     Παράθυρο
dialogeditor_grid                       Πλέγμα
dialogeditor_caption                    Υπότιτλος
dialogeditor_component                  Υποεφαρμογή
dialogeditor_select						Επιλέξτε
dialogeditor_create						Δημιουργία
dialogeditor_background                 Εικόνα φόντου
dialogeditor_panel                      Πίνακας

dialogcomponent_custom                  Προσαρμοσμένο
dialogcomponent_button                  Κουμπί
dialogcomponent_container               Κοντέινερ
dialogcomponent_caption                 Υπότιτλος
dialogcomponent_titlecaption            Λεζάντα τίτλου
dialogcomponent_checkbox                Πλαίσιο ελέγχου
dialogcomponent_inputfield              Εισαγωγή πεδίου
dialogcomponent_inputslider             Εισαγωγή ρυθμιστικού
dialogcomponent_dropdownmenu            Αναπτυσσόμενο μενού
dialogcomponent_selectionlist           Λίστα επιλογής
dialogcomponent_selectionlistitem       Στοιχείο λίστας επιλογής
dialogcomponent_scrollbar               Γραμμή κύλισης
dialogcomponent_progressbar             Γραμμή προόδου
dialogcomponent_canvas                  Καμβάς
dialogcomponent_iconbox					Πλαίσιο εικονιδίου

dialogposition_absolute                 Απόλυτη
dialogposition_relative                 Σχετική
dialogposition_scaled                   Με κλιμάκωση


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Εργαλείο δημιουργίας προφίλ
profiler_name                           Όνομα
profiler_timings                        Χρονισμοί
profiler_totaltime                      Σύνολο
profiler_glfinishcaption                glFinish
profiler_reset                          Επαναφορά


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Κανάλια ήχου
soundeditor_title                       Εργαλείο επεξεργασίας ήχου
soundinstanceeditor_title				Εργαλείο επεξεργασίας περιστατικών ήχου

soundeditor_positiontitle		Τύπος θέσης
soundeditor_instancetitle		Τύπος περιστατικού
soundeditor_looptitle			Τύπος βρόχου
soundeditor_sourcetypetitle		Τύπος ήχου
soundeditor_soundnametitle		Όνομα ήχου

soundeditor_volumetitle			Ένταση ήχου
soundeditor_frequencytitle              Συχνότητα
soundeditor_mindistancetitle            Ελάχ. απόσταση
soundeditor_attacktitle                 Χρόνος δράσης
soundeditor_sustaintitle                Διάρκεια
soundeditor_releasetitle                Κατάληξη
soundeditor_loopdelaytitle              Καθυστέρηση βρόχου
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Επόμενο συμβάν

soundeditor_play                        Αναπαραγωγή
soundeditor_stop                        Διακοπή

soundparametereditor_title              Παράμετρος ήχου
soundparametereditor_typetitle          Τύπος
soundparametereditor_linktitle          Συνδεδεμένο με
soundparametereditor_updatetitle        Τύπος ενημέρωσης
soundparametereditor_smoothing          Ομαλοποίηση
soundparametereditor_chaintitle         Αλυσίδα

soundeditor_newdsp                      Προσθήκη DSP
sounddspeditor_title                    Εργαλείο επεξεργασίας DSP
samplebankeditor_title                  Εργαλείο επεξεργασίας τράπεζας δειγμάτων
samplebankeditor_addsample              Προσθήκη ήχου
samplebank                              (Τράπεζα δειγμάτων)


# =============================================================================
# Interface Mode
# =============================================================================

