
campaigncutscene_tooltip 				(Fai clic per avviare il prossimo capitolo della storia)
campaignchapter_locked                  (Bloccato)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Palermo

campaignchapter_food_description        Un incendio ha reso inagibili la cucina e la mensa della prigione: se non troveremo rapidamente il modo di sfamare i detenuti, temo che dovremo fronteggiare una rivolta.\nTrova del cibo per i carcerati e ricostruisci la cucina e la mensa.

adviser_food_fire_1                     Si è verificato un problema presso una delle nostre strutture.
adviser_food_fire_2                     Qualcuno ha dato fuoco alla cucina della prigione: dobbiamo spegnere l'incendio per evitare che causi vittime o altri danni.
adviser_food_fire_3                     Chiama i pompieri utilizzando il pulsante dedicato ai servizi di emergenza nella barra degli strumenti.
adviser_food_fire_4                     Tieni a bada le fiamme per evitare che riducano in cenere l'intera prigione!

objective_food_callfirebrigade          Chiama i pompieri
objective_food_extinguishflames         Spegni l'incendio

objective_food_callfirebrigade_description 	Per chiamare i pompieri, usa il pulsante dedicato ai servizi di emergenza nella barra degli strumenti e fai clic su Vigili del fuoco.
objective_food_extinguishflames_description  Dopo avere selezionato i pompieri, potrai dirigere manualmente il getto degli idranti verso le fiamme tenendo premuto il tasto H.\n\nCerca di fare in modo di mantenere i vigili del fuoco vicino alle fiamme: in questo modo, la loro azione si rivelerà più efficace.

adviser_food_savedon1                   Ehi, c'è un sopravvissuto tra le macerie!
adviser_food_savedon2					Che mi venga un colpo: è Don Palermo, uno dei detenuti! Deve essere stato lui il fautore di tutto ciò.
adviser_food_donintro2					La brutta notizia per lui è che i tagli al bilancio ci hanno costretto a licenziare tutti i nostri dottori.
adviser_food_donintro3				 	La buona notizia è che l'infermeria è ancora agibile. Assumi un paio di medici per fare sì che si prendano cura di Don Palermo mentre noi cerchiamo di risolvere questa situazione.

adviser_food_afterfire3                 Dobbiamo ripulire questo casino.
adviser_food_afterfire4                 Usa la ruspa per rimuovere tutte le macerie della mensa e della cucina.
adviser_food_afterfire6                 Allestisci un'apposita area di scarico di fianco alla strada dove gli operai possano depositare le macerie, di cui poi si occuperanno i camion della spazzatura.
adviser_food_dismissfiremen1			Ora che i pompieri hanno portato a termine il loro incarico, puoi rimandarli a casa.
adviser_food_gamespeed                  Ci vorrà un po' prima che la demolizione di quegli edifici venga ultimata. Se lo desideri, puoi fare in modo che il tempo scorra più rapidamente utilizzando i pulsanti sotto l'orologio.

adviser_food_todolist1					Nella tua lista di cose da fare, ho aggiunto ulteriori dettagli su ognuno di questi obiettivi.
adviser_food_todolist2					Se non sai come procedere, evidenzia l'obiettivo per visualizzare maggiori informazioni a riguardo.

objective_food_buildmedicalward_doctors Assumi un paio di dottori da impiegare in infermeria.

objective_food_DismissAllFiremen		Manda a casa i pompieri
objective_food_cleararea                Rimuovi le macerie
objective_food_buildgarbagearea         Allestisci una zona di scarico
objective_food_clearcanteen             Rimuovi le macerie della mensa
objective_food_clearkitchen             Rimuovi le macerie della cucina
objective_food_hiremoreworkmen			(OPZIONALE) Assumi altri lavoratori per velocizzare la demolizione

objective_food_dismissallfiremen_description 	Per rimandare a casa i vigili del fuoco, individua l'icona corrispondente nella parte destra dello schermo e fai clic sul pulsante X rosso.
objective_food_cleararea_description 	Per demolire gli edifici, serviti della ruspa: puoi trovarla nella sezione "Lavori" della barra degli strumenti.

adviser_food_familyvisit1				Bel lavoro.
adviser_food_familyvisit2 				Andiamo a dare un'occhiata al nostro ferito.

adviser_food_troublesoon1				Se non daremo loro del cibo, i detenuti raderanno al suolo l'intera prigione.
adviser_food_troublesoon2 				Dobbiamo rendere sicura la prigione se non vogliamo avere a che fare con una rivolta.
adviser_food_troublesoon3 				Questa è la schermata Dispiegamento, da dove puoi gestire lo schieramento tattico di tutte le tue guardie.
adviser_food_troublesoon4 				Disponi delle guardie in tutti i blocchi di celle e in tutte le stanze e schiera 10 uomini a difesa delle varie stazioni della prigione. Per il momento, dovrebbe bastare.
