
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              새로시작
dialog_load                             불러오기
dialog_save                             저장
dialog_saveas                           다른 이름으로 저장
dialog_delete                           삭제
dialog_width                            너비
dialog_height                           높이
dialog_name                             이름
dialog_type                             유형
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             나가기
dialog_cancel                           취소
dialog_ok                               확인
dialog_open                             열기
dialog_close                            닫기
dialog_closed                           닫힘
dialog_add                              추가
dialog_up                               위로
dialog_down                             아래로
dialog_yes                              예
dialog_no                               아니오
dialog_loading                          불러오는 중...
dialog_low                              낮음
dialog_medium                           중간
dialog_high                             높음
dialog_none                             없음
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      대화 편집기
dialogeditor_back                       뒤로
dialogeditor_front                      앞으로
dialogeditor_reloadlanguage             언어 다시 불러오기
dialogeditor_test                       시험
dialogeditor_window                     창
dialogeditor_grid                       격자
dialogeditor_caption                    설명
dialogeditor_component                  요소
dialogeditor_select						선택
dialogeditor_create						생성
dialogeditor_background                 배경이미지
dialogeditor_panel                      패널

dialogcomponent_custom                  꾸미기
dialogcomponent_button                  버튼
dialogcomponent_container               컨테이너
dialogcomponent_caption                 설명
dialogcomponent_titlecaption            제목설명
dialogcomponent_checkbox                체크상자
dialogcomponent_inputfield              입력란
dialogcomponent_inputslider             입력슬라이더
dialogcomponent_dropdownmenu            드롭다운메뉴
dialogcomponent_selectionlist           선택목록
dialogcomponent_selectionlistitem       선택목록아이템
dialogcomponent_scrollbar               스크롤바
dialogcomponent_progressbar             진행상태바
dialogcomponent_canvas                  캔버스
dialogcomponent_iconbox					아이콘상자

dialogposition_absolute                 절대값
dialogposition_relative                 상대값
dialogposition_scaled                   축척


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          프로파일러
profiler_name                           이름
profiler_timings                        시간
profiler_totaltime                      총시간
profiler_glfinishcaption                glFinish
profiler_reset                          초기화


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                사운드 채널
soundeditor_title                       사운드 편집기
soundinstanceeditor_title				사운드 인스턴스 편집기

soundeditor_positiontitle		위치 종류
soundeditor_instancetitle		인스턴스 종류
soundeditor_looptitle			반복 종류
soundeditor_sourcetypetitle		사운드 종류
soundeditor_soundnametitle		사운드 이름

soundeditor_volumetitle			음량
soundeditor_frequencytitle              빈도
soundeditor_mindistancetitle            최소 거리
soundeditor_attacktitle                 공격
soundeditor_sustaintitle                유지
soundeditor_releasetitle                석방
soundeditor_loopdelaytitle              반복 지연시간
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              다음 사건

soundeditor_play                        재생
soundeditor_stop                        중지

soundparametereditor_title              사운드 변수
soundparametereditor_typetitle          유형
soundparametereditor_linktitle          연결
soundparametereditor_updatetitle        업데이트 종류
soundparametereditor_smoothing          부드럽게
soundparametereditor_chaintitle         연쇄

soundeditor_newdsp                      DSP 추가
sounddspeditor_title                    DSP 편집기
samplebankeditor_title                  샘플 저장소 편집기
samplebankeditor_addsample              사운드 추가
samplebank                              (샘플 저장소)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            완료
interfacemode_destroy                         파괴
interfacemode_foundations				기초
interfacemode_construction                    자재
interfacemode_planning                        계획
interfacemode_objects                         물품
interfacemode_designation                     방
interfacemode_utilities                       공공시설
interfacemode_staff                           직원
interfacemode_deployment                      배치
interfacemode_logistics                       물류
interfacemode_prisoners                       죄수
interfacemode_needs                           욕구
interfacemode_threats                         위협
interfacemode_overlays                        오버레이
interfacemode_research                        업무결재시스템
interfacemode_emergencies                     긴급
interfacemode_clone                           복사
interfacemode_contraband                      정보수집
interfacemode_grading                         등급
interfacemode_spawn                           (산란)
interfacemode_properties                      (속성)
interfacemode_cutscenes                       (장면)
interfacemode_selection                       선택

interfaceoverlay_security                       보안
interfaceoverlay_patrols                        순찰
interfaceoverlay_decay                          부식
interfaceoverlay_territory                      지역
interfaceoverlay_contraband                     밀반입

interfaceproperty_indoor                        실내
interfaceproperty_visible                       가시 구역
interfaceproperty_territoryprisoner             갱단
interfaceproperty_territoryguard                교도관
interfaceproperty_sectorprisoner                폭동
interfaceproperty_tunnel                        땅굴

interfacedeployment_guards                      교도관
interfacedeployment_patrols                     교도관 순찰
interfacedeployment_dogpatrols                  경비견 순찰
interfacedeployment_armedpatrols                무장교도관 순찰
interfacedeployment_removeguards                교도관 제거
interfacedeployment_clearpatrols                순찰 제거
interfacedeployment_targetting                  물류
interfacedeployment_targettingfood              음식 물류
interfacedeployment_targettinglaundry           세탁 물류
interfacedeployment_securearea                  안전구역
interfacedeployment_sharedzone                  공용구역
interfacedeployment_staffonlyzone               직원 전용
interfacedeployment_maxseczone                  고위험자 전용
interfacedeployment_medseczone                  중위험자 전용
interfacedeployment_minseczone                  저위험자 전용
interfacedeployment_protectedzone               보호감호자 전용
interfacedeployment_supermaxzone                초고위험자 전용
interfacedeployment_deathrowzone                사형수 전용
interfacedeployment_unlockedzone                잠금해제
interfacedeployment_zonered                     레드윙
interfacedeployment_zonegreen                   그린윙
interfacedeployment_zoneblue                    블루윙
interfacedeployment_zoneyellow                  옐로윙

interfacelogistics_jobs                         수감자 노역
interfacelogistics_removejobs                   노역 취소
interfacelogistics_targettingfood               음식 분배
interfacelogistics_targettinglaundry            세탁물 분배
interfacelogistics_roomquality                  방등급

