
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nowa gra
dialog_load                             Załaduj grę
dialog_save                             Zapisz
dialog_saveas                           Zapisz jako
dialog_delete                           Skasuj
dialog_width                            Szerokość
dialog_height                           Wysokość
dialog_name                             Imię
dialog_type                             Typ
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Wyjdź
dialog_cancel                           Anuluj
dialog_ok                               Ok
dialog_open                             Otwórz
dialog_close                            Zamknij
dialog_closed                           Zamknięto
dialog_add                              Dodaj
dialog_up                               W górę
dialog_down                             W dół
dialog_yes                              Tak
dialog_no                               Nie
dialog_loading                          Trwa ładowanie...
dialog_low                              Niska
dialog_medium                           Średnia
dialog_high                             Wysoka
dialog_none                             Brak
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Edytor dialogów
dialogeditor_back                       Wróć
dialogeditor_front                      Przód
dialogeditor_reloadlanguage             Wczytaj język ponownie
dialogeditor_test                       Testuj
dialogeditor_window                     Okno
dialogeditor_grid                       Siatka
dialogeditor_caption                    Napis
dialogeditor_component                  Element
dialogeditor_select						Wybierz
dialogeditor_create						Utwórz
dialogeditor_background                 Tło
dialogeditor_panel                      Panel

dialogcomponent_custom                  Niestandard.
dialogcomponent_button                  Przycisk
dialogcomponent_container               Kontener
dialogcomponent_caption                 Opis
dialogcomponent_titlecaption            Tytuł
dialogcomponent_checkbox                Pole wyboru
dialogcomponent_inputfield              Pole wejściowe
dialogcomponent_inputslider             Suwak
dialogcomponent_dropdownmenu            Menu rozwijane
dialogcomponent_selectionlist           Lista
dialogcomponent_selectionlistitem       Pozycja na liście
dialogcomponent_scrollbar               Pasek przewijania
dialogcomponent_progressbar             Pasek postępu
dialogcomponent_canvas                  Kanwa
dialogcomponent_iconbox					Ikona

dialogposition_absolute                 Bezwzględna
dialogposition_relative                 Względna
dialogposition_scaled                   Skalowana


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Analiza kodu
profiler_name                           Imię
profiler_timings                        Synchronizacja
profiler_totaltime                      Łączny czas
profiler_glfinishcaption                glFinish
profiler_reset                          Reset


# =============================================================================
