
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nou
dialog_load                             Incarcă
dialog_save                             Salvează
dialog_saveas                           Salvează Ca
dialog_delete                           Șterge
dialog_width                            Lățime
dialog_height                           Înălțime
dialog_name                             Nume
dialog_type                             Tip
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Ieși
dialog_cancel                           Anulează
dialog_ok                               Ok
dialog_open                             Deschide
dialog_close                            Inchide
dialog_closed                           Inchis
dialog_add                              Adaugă
dialog_up                               Sus
dialog_down                             Jos
dialog_yes                              Da
dialog_no                               Nu
dialog_loading                          Se Încarcă...
dialog_low                              Scăzută
dialog_medium                           Medie
dialog_high                             Înaltă
dialog_none                             Niciunul
ellipsis                                …


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Editor Pentru Dialog
dialogeditor_back                       În Spate
dialogeditor_front                      În Față
dialogeditor_reloadlanguage             Reîncarcă Limba
dialogeditor_test                       Testează
dialogeditor_window                     Fereastră
dialogeditor_grid                       Grilă
dialogeditor_caption                    Subtitrare
dialogeditor_component                  Componentă
dialogeditor_select						Alege
dialogeditor_create						Creează
dialogeditor_background                 Imagine Fundal
dialogeditor_panel                      Panou

dialogcomponent_custom                  Personalizat
dialogcomponent_button                  Buton
dialogcomponent_container               Recipient
dialogcomponent_caption                 Titlu
dialogcomponent_titlecaption            Titlu
dialogcomponent_checkbox                Casetă De Selectare
dialogcomponent_inputfield              Câmp De Text
dialogcomponent_inputslider             Cursor
dialogcomponent_dropdownmenu            Listă
dialogcomponent_selectionlist           Listă De Selecție
dialogcomponent_selectionlistitem       Obiect Din Listă De Selecție
dialogcomponent_scrollbar               Bară De Navigare
dialogcomponent_progressbar             Bară De Progres
dialogcomponent_canvas                  Pânză
dialogcomponent_iconbox					Casetă De Iconiță

dialogposition_absolute                 Absolută
dialogposition_relative                 Relativă
dialogposition_scaled                   La Scară


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Nume
profiler_timings                        Timpi
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Resetează


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Canale De Sunet
soundeditor_title                       Editor De Sunet
soundinstanceeditor_title				Editor Instanță De Sunet

soundeditor_positiontitle		Tip Poziție
soundeditor_instancetitle		Tip Instanță
soundeditor_looptitle			Tip Buclă
soundeditor_sourcetypetitle		Tip Sunet
soundeditor_soundnametitle		Nume Sunet

soundeditor_volumetitle			Volum
soundeditor_frequencytitle              Frecvență
soundeditor_mindistancetitle            Distanță Minimă
soundeditor_attacktitle                 Atacă
soundeditor_sustaintitle                Susține
soundeditor_releasetitle                Eliberează
soundeditor_loopdelaytitle              Amână Bucla
soundeditor_dsptitle                    Procesor De Semnal Digital
soundeditor_nexteventtitle              Următorul Eveniment

soundeditor_play                        Pornește
soundeditor_stop                        Oprește

soundparametereditor_title              Parametri Sunet
soundparametereditor_typetitle          Tip
soundparametereditor_linktitle          Legat De
soundparametereditor_updatetitle        Tip Actualizare
soundparametereditor_smoothing          Netezire
soundparametereditor_chaintitle         Lanț

soundeditor_newdsp                      Adaugă Procesor De Semnal Digital
sounddspeditor_title                    Editor Procesor De Semnal Digital
samplebankeditor_title                  Editor Colecție De Mostre
samplebankeditor_addsample              Adaugă Sunet
samplebank                              (Colecție De Mostre)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Terminat
interfacemode_destroy                         Șterge
interfacemode_foundations				Fundații
interfacemode_construction                    Materiale
interfacemode_planning                        Planificare
interfacemode_objects                         Obiecte
interfacemode_designation                     Camere
interfacemode_utilities                       Utilitare
interfacemode_staff                           Personal
interfacemode_deployment                      Mobilizare
interfacemode_logistics                       Logistică
interfacemode_prisoners                       Prizonieri
interfacemode_needs                           Nevoi
interfacemode_threats                         Amenințări
interfacemode_overlays                        Straturi
interfacemode_research                        Birocrație
interfacemode_emergencies                     Urgențe
interfacemode_clone                           Clonează
interfacemode_contraband                      Informație
interfacemode_grading                         Evaluare
interfacemode_spawn                           (Generează)
interfacemode_properties                      (Proprietăți)
interfacemode_cutscenes                       (Filmulețe)
interfacemode_selection                       Alege

interfaceoverlay_security                       Securitate
interfaceoverlay_patrols                        Patrule
interfaceoverlay_decay                          Decădere
interfaceoverlay_territory                      Teritoriu
interfaceoverlay_contraband                     Contrabandă

interfaceproperty_indoor                        Interior
interfaceproperty_visible                       Vizibil
interfaceproperty_territoryprisoner             Găști
interfaceproperty_territoryguard                Paznici
interfaceproperty_sectorprisoner                Revoltă
interfaceproperty_tunnel                        Tunel

interfacedeployment_guards                      Paznici
interfacedeployment_patrols                     Patrule Gardieni
interfacedeployment_dogpatrols                  Patrule Câini
interfacedeployment_armedpatrols                Patrule Înarmate
interfacedeployment_removeguards                Elimină Paznici
interfacedeployment_clearpatrols                Șterge Patrule
interfacedeployment_targetting                  Logistică
interfacedeployment_targettingfood              Logistică Mâncare
interfacedeployment_targettinglaundry           Logistică Rufe
interfacedeployment_securearea                  Zonă Sigură
interfacedeployment_sharedzone                  Comună
interfacedeployment_staffonlyzone               Doar Personal
interfacedeployment_maxseczone                  Doar Maximă Securitate
interfacedeployment_medseczone                  Doar Securitate Medie
interfacedeployment_minseczone                  Doar Minimă Securitate
interfacedeployment_protectedzone               Doar Custodie
interfacedeployment_supermaxzone                Doar Super Maximă
interfacedeployment_deathrowzone                Doar Condamnați La Moarte
interfacedeployment_unlockedzone                Descuiat
interfacedeployment_zonered                     Aripa Roșie
interfacedeployment_zonegreen                   Aripa Verde
interfacedeployment_zoneblue                    Aripa Albastră
interfacedeployment_zoneyellow                  Aripa Galbenă

interfacelogistics_jobs                         Muncă
interfacelogistics_removejobs                   Renunță La Sarcină
interfacelogistics_targettingfood               Distribuție Mâncare
interfacelogistics_targettinglaundry            Distribuție Rufe
interfacelogistics_roomquality                  Calitate Cameră

interfaceplanning_wall							Pereți
interfaceplanning_object						Obiecte
interfaceplanning_route							Poteci
interfaceplanning_clear							Șterge
interfaceplanning_zone1							Zona 1
interfaceplanning_zone2							Zona 2
interfaceplanning_zone3							Zona 3
