
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Новая игра
dialog_load                             Загрузить
dialog_save                             Сохранить
dialog_saveas                           Сохранить как
dialog_delete                           Удалить
dialog_width                            Ширина
dialog_height                           Высота
dialog_name                             Имя
dialog_type                             Тип
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                Шир.
dialog_h                                Выс.
dialog_exit                             Выход
dialog_cancel                           Отмена
dialog_ok                               Принять
dialog_open                             Открыть
dialog_close                            Закрыть
dialog_closed                           Закрыто
dialog_add                              Добавить
dialog_up                               Вверх
dialog_down                             Вниз
dialog_yes                              Да
dialog_no                               Нет
dialog_loading                          Загрузка...
dialog_low                              Низкое
dialog_medium                           Среднее
dialog_high                             Высокое
dialog_none                             Отсутствует
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Редактор диалогов
dialogeditor_back                       Назад
dialogeditor_front                      Вперед
dialogeditor_reloadlanguage             Обновить язык
dialogeditor_test                       Проверить
dialogeditor_window                     Окно
dialogeditor_grid                       Сетка
dialogeditor_caption                    Подпись
dialogeditor_component                  Компонент
dialogeditor_select						Выбрать
dialogeditor_create						Создать
dialogeditor_background                 Фон
dialogeditor_panel                      Панель

dialogcomponent_custom                  Пользовательский
dialogcomponent_button                  Кнопка
dialogcomponent_container               Контейнер
dialogcomponent_caption                 Подпись
dialogcomponent_titlecaption            ЗаголовокОкна
dialogcomponent_checkbox                Окошко метки
dialogcomponent_inputfield              ПолеВвода
dialogcomponent_inputslider             ВставкаПолзунка
dialogcomponent_dropdownmenu            ВыпадающееМеню
dialogcomponent_selectionlist           СписокВыбора
dialogcomponent_selectionlistitem       СписокВыбораПредметов
dialogcomponent_scrollbar               ПолосаПрокрутки
dialogcomponent_progressbar             ИндикаторВыполнения
dialogcomponent_canvas                  Холст
dialogcomponent_iconbox					ОкноИконок

dialogposition_absolute                 Точное
dialogposition_relative                 Относительное
dialogposition_scaled                   Растянутое


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Редактор профиля
profiler_name                           Имя
profiler_timings                        Время
profiler_totaltime                      Всего
profiler_glfinishcaption                glFinish
profiler_reset                          Сбросить


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Аудиоканалы
soundeditor_title                       Редактор звука
soundinstanceeditor_title				Редактор звуковых образцов

soundeditor_positiontitle		Тип позиции
soundeditor_instancetitle		Тип образца
soundeditor_looptitle			Тип лупа
soundeditor_sourcetypetitle		Тип звука
soundeditor_soundnametitle		Название звука

soundeditor_volumetitle			Громкость
soundeditor_frequencytitle              Частота
soundeditor_mindistancetitle            Мин. расстояние
soundeditor_attacktitle                 Атака
soundeditor_sustaintitle                Задержка
soundeditor_releasetitle                Затухание
soundeditor_loopdelaytitle              Спад лупа
soundeditor_dsptitle                    Цифровая обработка сигнала
soundeditor_nexteventtitle              Следующее событие

soundeditor_play                        Проиграть
soundeditor_stop                        Остановить

soundparametereditor_title              Звуковые параметры
soundparametereditor_typetitle          Тип
soundparametereditor_linktitle          Привязать к
soundparametereditor_updatetitle        Тип обновления
soundparametereditor_smoothing          Сглаживание
soundparametereditor_chaintitle         Цепь

soundeditor_newdsp                      Добавить DSP
sounddspeditor_title                    Редактор DSP
samplebankeditor_title                  Редактор банка сэмплов
samplebankeditor_addsample              Добавить звук
samplebank                              (Банк сэмплов)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Завершено
interfacemode_destroy                         Разрушить
